month,c851711,c851712,c851713,c851714,c851718
2018-04,0.09,26.05,,,0.51
2018-05,0.22,55.45,,,0.72
2018-06,0.36,59.57,,,1.45
2018-07,0.19,90.37,,,0.2
2018-08,1,100.09,,,1.1
2018-09,0.44,96.57,,,0.7
2018-10,0.99,147.36,,,1.06
2018-11,0.24,210.76,,,0.24
2018-12,0.1,173.45,,,0.89
2019-01,0.95,201.37,,,0.36
2019-02,0.41,252.14,,,0.67
2019-03,0.67,199.47,,,1.2
2019-04,0.19,97.35,,,1.11
2019-05,1.26,270.94,,,0.78
2019-06,2.17,293.38,,,1.03
2019-07,0.64,367.68,,,1.03
2019-08,0.99,370.53,,,0.73
2019-09,3.22,272.96,,,1.08
2019-10,0.38,357.31,,,0.9
2019-11,0.89,425.04,,,1.16
2019-12,0.63,292.42,,,1.55
2020-01,0.5,341.11,,,1.47
2020-02,0.22,509.83,,,0.9
2020-03,0.28,238.57,,,1.02
2020-04,0,30.39,,,0.04
2020-05,0.09,70.45,,,0.47
2020-06,0.28,70.02,,,1.48
2020-07,0.42,139.79,,,0.91
2020-08,0.69,242.75,,,1.3
2020-09,0.2,219.87,,,1.13
2020-10,0.43,292.2,,,0.74
2020-11,0.55,438.38,,,1.22
2020-12,0.86,415.91,,,1.74
2021-01,0.72,398.93,,,1
2021-02,0.37,316.18,,,0.93
2021-03,0.42,469.66,,,1.49
2021-04,0.04,169.31,,,0.78
2021-05,0.52,227.23,,,5.19
2021-06,0.49,231.08,,,1
2021-07,0.05,422.16,,,0.9
2021-08,0.16,348.02,,,0.67
2021-09,0.24,300.99,,,1.09
2021-10,0.29,496,,,0.4
2021-11,0.23,692.33,,,0.58
2021-12,0.32,775.78,,,1.39
2022-01,33.06,230.9,,,272.16
2022-02,63.41,379.62,,,160.47
2022-03,3.08,503.82,,,306.77
2022-04,4.87,153.52,498.26,2.06,33.13
2022-05,2.11,0,444.5,0.6,1.21
2022-06,4.14,0,707.36,0.6,1.16
2022-07,1.56,0,691.92,1.17,1.07
2022-08,5.54,0,668.93,0.49,0.81
2022-09,2.24,0.02,890.72,0.85,1.64
2022-10,0.13,0,907.98,0.67,1.18
2022-11,0.3,0,1194.23,2.53,1.02
2022-12,0.59,0,1190.08,2.64,0.57
2023-01,0.39,0,1165.12,1.16,0.82
2023-02,0.3,0,951.27,0.71,0.77
2023-03,0.62,0,1644.84,1.89,0.78
2023-04,0.05,0,1067.69,0.42,0.56
2023-05,0.51,0,1362.97,1.92,0.56
2023-06,0.44,0,1291.13,0.44,0.7
2023-07,0.53,0,951.02,0.1,1.14
2023-08,1.11,0,953.6,0.02,0.62
2023-09,0.48,0,912.25,0.17,0.68
2023-10,0.62,0,1266.66,0.08,1.44
2023-11,1.25,0,1265.01,0.95,0.62
2023-12,1.17,0,1443.05,2.22,0.7
2024-01,0.78,0,1315.72,0.73,0.47
2024-02,0.15,0,1755.44,2.72,0.61
2024-03,0.23,0,1988.42,1.23,0.45
2024-04,0.02,0,1511.38,1.8,0.41
2024-05,0.13,0,1779.24,0.67,0.76
2024-06,0.23,0,1610.62,0.84,0.82
2024-07,0.14,0,1549.19,0.26,0.65
2024-08,0.32,0,1096.97,0.81,0.76
2024-09,0.76,0,922.96,0.06,0.73
2024-10,0.3,0,2210.3,1.22,0.92
2024-11,0.27,0,2401.87,0.28,0.71
2024-12,0.35,0,2299.34,2.24,0.72
2025-01,0.18,0.04,2928.32,0.79,0.68
2025-02,0.14,0,2662.13,1.21,0.83
2025-03,0.06,0,3165.73,0.33,0.79
2025-04,0.11,0,2325.55,0.65,0.72
2025-05,0.12,0,2963.21,0.49,0.94
2025-06,0.21,0,2683.51,3.5,1.03
2025-07,0.28,0,2204.19,0.98,0.79
2025-08,0.16,0,1526.49,0.38,0.72
2025-09,0.25,0,1681.95,0.56,0.69
2025-10,0.15,0,2566.15,0.65,0.76
2025-11,0.08,0,2918.62,0.61,0.72
2025-12,0.27,0,2506.9,0.68,0.95
2026-01,1.2,0,2555.51,0.75,0.79
2026-02,0.31,0,2640.19,0.82,0.74
2026-03,0.08,0,2790.8,0.52,0.82
