month,basket_id,export_usd_mn,n_codes,vintage_flag,codes_absent,codes_starred
2018-04,B1_MOBILE,26.65,3,R,851713|851714,
2018-04,B2_PHARMA,990.19,20,R,,
2018-04,B3_AC,13.83,6,R,,
2018-04,B4_TEXTILE,71.22,14,R,,
2018-04,C1_LEATHER,172.42,20,R,,
2018-04,C2_FOOTWEAR,209.55,25,R,,
2018-04,C3_COTTON,153.56,70,R,,
2018-05,B1_MOBILE,56.39,3,R,851713|851714,
2018-05,B2_PHARMA,1046.5,20,R,,
2018-05,B3_AC,16.08,6,R,,
2018-05,B4_TEXTILE,73.89,14,R,,
2018-05,C1_LEATHER,190.58,20,R,,
2018-05,C2_FOOTWEAR,226.47,25,R,,
2018-05,C3_COTTON,149.76,70,R,,
2018-06,B1_MOBILE,61.38,3,R,851713|851714,
2018-06,B2_PHARMA,1134.57,21,R,,
2018-06,B3_AC,16.3,6,R,,
2018-06,B4_TEXTILE,66.15,14,R,,
2018-06,C1_LEATHER,207.31,20,R,,
2018-06,C2_FOOTWEAR,247.89,25,R,,
2018-06,C3_COTTON,149.76,70,R,,
2018-07,B1_MOBILE,90.76,3,R,851713|851714,
2018-07,B2_PHARMA,1005.56,21,R,,
2018-07,B3_AC,14.11,6,R,,
2018-07,B4_TEXTILE,60.03,14,R,,
2018-07,C1_LEATHER,214.8,20,R,,
2018-07,C2_FOOTWEAR,268.75,25,R,,
2018-07,C3_COTTON,140.55,70,R,,
2018-08,B1_MOBILE,102.19,3,R,851713|851714,
2018-08,B2_PHARMA,1230.39,21,R,,
2018-08,B3_AC,13.59,6,R,,
2018-08,B4_TEXTILE,83.66,14,R,,
2018-08,C1_LEATHER,228.32,20,R,,
2018-08,C2_FOOTWEAR,274.01,25,R,,
2018-08,C3_COTTON,176.4,70,R,,
2018-09,B1_MOBILE,97.71,3,R,851713|851714,
2018-09,B2_PHARMA,1198.39,21,R,,
2018-09,B3_AC,12.66,6,R,,
2018-09,B4_TEXTILE,90.78,14,R,,
2018-09,C1_LEATHER,220.36,20,R,,
2018-09,C2_FOOTWEAR,205.83,25,R,,
2018-09,C3_COTTON,149.13,70,R,,
2018-10,B1_MOBILE,149.41,3,R,851713|851714,
2018-10,B2_PHARMA,1079.5,21,R,,
2018-10,B3_AC,10.38,6,R,,
2018-10,B4_TEXTILE,83.08,14,R,,
2018-10,C1_LEATHER,224.4,20,R,,
2018-10,C2_FOOTWEAR,213.12,25,R,,
2018-10,C3_COTTON,158.84,70,R,,
2018-11,B1_MOBILE,211.24,3,R,851713|851714,
2018-11,B2_PHARMA,1070.36,21,R,,
2018-11,B3_AC,10.31,6,R,,
2018-11,B4_TEXTILE,69.11,14,R,,
2018-11,C1_LEATHER,219.28,20,R,,
2018-11,C2_FOOTWEAR,217.43,25,R,,
2018-11,C3_COTTON,137.39,70,R,,
2018-12,B1_MOBILE,174.44,3,R,851713|851714,
2018-12,B2_PHARMA,1170.81,21,R,,
2018-12,B3_AC,11.23,6,R,,
2018-12,B4_TEXTILE,77.36,14,R,,
2018-12,C1_LEATHER,222.16,20,R,,
2018-12,C2_FOOTWEAR,256.92,25,R,,
2018-12,C3_COTTON,152.05,70,R,,
2019-01,B1_MOBILE,202.68,3,R,851713|851714,
2019-01,B2_PHARMA,1125.89,20,R,,
2019-01,B3_AC,12.84,6,R,,
2019-01,B4_TEXTILE,86.09,14,R,,
2019-01,C1_LEATHER,229.23,20,R,,
2019-01,C2_FOOTWEAR,272.7,25,R,,
2019-01,C3_COTTON,159.52,70,R,,
2019-02,B1_MOBILE,253.22,3,R,851713|851714,
2019-02,B2_PHARMA,1161.11,21,R,,
2019-02,B3_AC,14.69,6,R,,
2019-02,B4_TEXTILE,80.23,14,R,,
2019-02,C1_LEATHER,212.19,20,R,,
2019-02,C2_FOOTWEAR,269.53,25,R,,
2019-02,C3_COTTON,153.95,70,R,,
2019-03,B1_MOBILE,201.34,3,R,851713|851714,
2019-03,B2_PHARMA,1379.96,21,R,,
2019-03,B3_AC,19.4,6,R,,
2019-03,B4_TEXTILE,99.75,14,R,,
2019-03,C1_LEATHER,217.57,20,R,,
2019-03,C2_FOOTWEAR,245.68,25,R,,
2019-03,C3_COTTON,192.49,70,R,,
2019-04,B1_MOBILE,98.65,3,R,851713|851714,
2019-04,B2_PHARMA,1116.4,20,R,,
2019-04,B3_AC,15.76,6,R,,
2019-04,B4_TEXTILE,82.32,14,R,,
2019-04,C1_LEATHER,168.04,20,R,,
2019-04,C2_FOOTWEAR,211.1,25,R,,
2019-04,C3_COTTON,153.87,70,R,,
2019-05,B1_MOBILE,272.98,3,R,851713|851714,
2019-05,B2_PHARMA,1181.92,20,R,,
2019-05,B3_AC,16.92,6,R,,
2019-05,B4_TEXTILE,85.4,14,R,,
2019-05,C1_LEATHER,217.26,20,R,,
2019-05,C2_FOOTWEAR,238.47,25,R,,
2019-05,C3_COTTON,162.65,70,R,,
2019-06,B1_MOBILE,296.58,3,R,851713|851714,
2019-06,B2_PHARMA,1316.01,21,R,,
2019-06,B3_AC,13.31,6,R,,
2019-06,B4_TEXTILE,71.08,14,R,,
2019-06,C1_LEATHER,198.27,20,R,,
2019-06,C2_FOOTWEAR,235.85,25,R,,
2019-06,C3_COTTON,154.51,70,R,,
2019-07,B1_MOBILE,369.35,3,R,851713|851714,
2019-07,B2_PHARMA,1249.09,21,R,,
2019-07,B3_AC,16.14,6,R,,
2019-07,B4_TEXTILE,93.48,14,R,,
2019-07,C1_LEATHER,226.84,20,R,,
2019-07,C2_FOOTWEAR,264.55,25,R,,
2019-07,C3_COTTON,161.15,70,R,,
2019-08,B1_MOBILE,372.25,3,R,851713|851714,
2019-08,B2_PHARMA,1218.08,21,R,,
2019-08,B3_AC,16.59,6,R,,
2019-08,B4_TEXTILE,91.44,14,R,,
2019-08,C1_LEATHER,219.8,20,R,,
2019-08,C2_FOOTWEAR,242.05,25,R,,
2019-08,C3_COTTON,161.43,70,R,,
2019-09,B1_MOBILE,277.26,3,R,851713|851714,
2019-09,B2_PHARMA,1309.14,21,R,,
2019-09,B3_AC,16.39,6,R,,
2019-09,B4_TEXTILE,93.2,14,R,,
2019-09,C1_LEATHER,205.01,20,R,,
2019-09,C2_FOOTWEAR,196.35,25,R,,
2019-09,C3_COTTON,162.8,70,R,,
2019-10,B1_MOBILE,358.59,3,R,851713|851714,
2019-10,B2_PHARMA,1223.67,21,R,,
2019-10,B3_AC,14.07,6,R,,
2019-10,B4_TEXTILE,96.34,14,R,,
2019-10,C1_LEATHER,209.68,20,R,,
2019-10,C2_FOOTWEAR,200.28,25,R,,
2019-10,C3_COTTON,167.48,70,R,,
2019-11,B1_MOBILE,427.09,3,R,851713|851714,
2019-11,B2_PHARMA,1288.6,21,R,,
2019-11,B3_AC,13.25,6,R,,
2019-11,B4_TEXTILE,78.27,14,R,,
2019-11,C1_LEATHER,212.94,20,R,,
2019-11,C2_FOOTWEAR,197.73,25,R,,
2019-11,C3_COTTON,144.87,70,R,,
2019-12,B1_MOBILE,294.6,3,R,851713|851714,
2019-12,B2_PHARMA,1369.46,21,R,,
2019-12,B3_AC,15.09,6,R,,
2019-12,B4_TEXTILE,109.41,14,R,,
2019-12,C1_LEATHER,208.72,20,R,,
2019-12,C2_FOOTWEAR,234.68,25,R,,
2019-12,C3_COTTON,169.95,70,R,,
2020-01,B1_MOBILE,343.08,3,R,851713|851714,
2020-01,B2_PHARMA,1271.02,20,R,,
2020-01,B3_AC,14.28,6,R,,
2020-01,B4_TEXTILE,110.45,14,R,,
2020-01,C1_LEATHER,210.18,20,R,,
2020-01,C2_FOOTWEAR,238.91,25,R,,
2020-01,C3_COTTON,162.94,70,R,,
2020-02,B1_MOBILE,510.95,3,R,851713|851714,
2020-02,B2_PHARMA,1268.19,21,R,,
2020-02,B3_AC,17.55,6,R,,
2020-02,B4_TEXTILE,108.34,14,R,,
2020-02,C1_LEATHER,207,20,R,,
2020-02,C2_FOOTWEAR,218.57,25,R,,
2020-02,C3_COTTON,168.4,70,R,,
2020-03,B1_MOBILE,239.87,3,R,851713|851714,
2020-03,B2_PHARMA,1115.86,21,R,,
2020-03,B3_AC,13.56,6,R,,
2020-03,B4_TEXTILE,83.85,14,R,,
2020-03,C1_LEATHER,142.34,20,R,,
2020-03,C2_FOOTWEAR,152.02,25,R,,
2020-03,C3_COTTON,134.95,70,R,,
2020-04,B1_MOBILE,30.43,3,R,851713|851714,
2020-04,B2_PHARMA,1178.86,21,R,,
2020-04,B3_AC,0.86,6,R,,
2020-04,B4_TEXTILE,9.23,14,R,,
2020-04,C1_LEATHER,8.68,20,R,,
2020-04,C2_FOOTWEAR,15.16,25,R,,
2020-04,C3_COTTON,12.31,70,R,,
2020-05,B1_MOBILE,71.01,3,R,851713|851714,
2020-05,B2_PHARMA,1486.12,21,R,,
2020-05,B3_AC,7.93,6,R,,
2020-05,B4_TEXTILE,26.44,14,R,,
2020-05,C1_LEATHER,50.03,20,R,,
2020-05,C2_FOOTWEAR,62.8,25,R,,
2020-05,C3_COTTON,55.05,70,R,,
2020-06,B1_MOBILE,71.78,3,R,851713|851714,
2020-06,B2_PHARMA,1459.84,21,R,,
2020-06,B3_AC,12.03,6,R,,
2020-06,B4_TEXTILE,41.41,14,R,,
2020-06,C1_LEATHER,119.4,20,R,,
2020-06,C2_FOOTWEAR,139.72,25,R,,
2020-06,C3_COTTON,121.65,70,R,,
2020-07,B1_MOBILE,141.12,3,R,851713|851714,
2020-07,B2_PHARMA,1491.11,21,R,,
2020-07,B3_AC,14.82,6,R,,
2020-07,B4_TEXTILE,54.28,14,R,,
2020-07,C1_LEATHER,168.93,20,R,,
2020-07,C2_FOOTWEAR,202.14,25,R,,
2020-07,C3_COTTON,149.18,70,R,,
2020-08,B1_MOBILE,244.74,3,R,851713|851714,
2020-08,B2_PHARMA,1441.74,21,R,,
2020-08,B3_AC,15.78,6,R,,
2020-08,B4_TEXTILE,60.54,14,R,,
2020-08,C1_LEATHER,187,20,R,,
2020-08,C2_FOOTWEAR,206.28,25,R,,
2020-08,C3_COTTON,139.62,70,R,,
2020-09,B1_MOBILE,221.2,3,R,851713|851714,
2020-09,B2_PHARMA,1650.06,21,R,,
2020-09,B3_AC,18.84,6,R,,
2020-09,B4_TEXTILE,71.42,14,R,,
2020-09,C1_LEATHER,210.34,20,R,,
2020-09,C2_FOOTWEAR,197.71,25,R,,
2020-09,C3_COTTON,154.71,70,R,,
2020-10,B1_MOBILE,293.37,3,R,851713|851714,
2020-10,B2_PHARMA,1516.4,21,R,,
2020-10,B3_AC,13.96,6,R,,
2020-10,B4_TEXTILE,62.62,14,R,,
2020-10,C1_LEATHER,204.02,20,R,,
2020-10,C2_FOOTWEAR,157.46,25,R,,
2020-10,C3_COTTON,163.67,70,R,,
2020-11,B1_MOBILE,440.15,3,R,851713|851714,
2020-11,B2_PHARMA,1417.83,21,R,,
