month,hs4_8517,hs4_8415,ch52_total
2018-04,105.79,13.83,755.54
2018-05,143.96,16.08,687.07
2018-06,144.58,16.3,693.67
2018-07,166.68,14.11,671.62
2018-08,164.8,13.59,617.88
2018-09,168.27,12.66,516.53
2018-10,230.62,10.38,547.47
2018-11,287.72,10.31,646.77
2018-12,258.31,11.23,723.93
2019-01,271.27,12.84,655.7
2019-02,340.9,14.69,616.79
2019-03,295.1,19.4,755.22
2019-04,185.24,15.76,489.52
2019-05,331.35,16.92,455.08
2019-06,358.46,13.31,368.02
2019-07,434.84,16.14,378.26
2019-08,430.79,16.59,390.14
2019-09,331.75,16.39,384.8
2019-10,414.56,14.07,425.9
2019-11,492.46,13.25,487.82
2019-12,393.51,15.09,593.29
2020-01,422.16,14.28,710.05
2020-02,576.04,17.55,600.64
2020-03,307.31,13.56,453.27
2020-04,54.33,0.86,77.71
2020-05,114.94,7.93,257.4
2020-06,166.97,12.03,465.15
2020-07,228.59,14.82,514.08
2020-08,314.34,15.78,460.87
2020-09,310.22,18.84,507.67
2020-10,374.45,13.96,532.08
2020-11,537.14,12.9,603.64
2020-12,551.05,16.06,653.35
2021-01,520.96,14.95,669.11
2021-02,447.61,17.09,702.32
2021-03,634.45,23.07,875.61
2021-04,332.91,16.52,789.87
2021-05,364.34,14.58,805.12
2021-06,376.56,16.3,828.17
2021-07,553.24,19.16,802.27
2021-08,480.59,18.37,802.02
2021-09,430.03,19.63,781.85
2021-10,651.5,18.83,787.85
2021-11,767.72,17.49,950.76
2021-12,881.08,20.45,1231.23
2022-01,632.04,20.59,1114.27
2022-02,719.53,25.22,970.84
2022-03,924.26,26.57,923.25
2022-04,807.58,20.42,759.13
2022-05,564.12,23.95,574.61
2022-06,862.17,26.82,481.2
2022-07,853.94,29,427.46
2022-08,802.21,21.61,383.38
2022-09,1026.4,21.82,336.19
2022-10,1034.58,17.22,303.61
2022-11,1332.27,23.79,371.71
2022-12,1295.83,28.95,397.62
2023-01,1246.51,17.43,478.76
2023-02,1045.49,23.31,540.58
2023-03,1763.25,33.66,609.13
2023-04,1183.21,27.77,516.61
2023-05,1439.02,25.63,518.32
2023-06,1395.91,28.07,526.69
2023-07,1058.79,21.81,549.53
2023-08,1056.23,25.49,598.06
2023-09,1028.22,27.24,555.86
2023-10,1401.35,23.03,561.07
2023-11,1391.73,28.12,505.92
2023-12,1634.81,32.73,532.77
2024-01,1402.58,25.84,517.66
2024-02,1889.08,30.04,728.31
2024-03,2118.29,40.97,669.93
2024-04,1597.85,23.56,541.37
2024-05,1884.69,34.29,570.33
2024-06,1739.41,32.99,522.02
2024-07,1729.02,34.4,487.83
2024-08,1230.36,39.16,457.35
2024-09,1077.3,35.04,488.37
2024-10,2397.01,40.33,512.28
2024-11,2553.89,32.33,483.76
2024-12,2464.05,39.43,567.35
2025-01,3069.7,37.21,576.93
2025-02,2803.14,38.02,546.51
2025-03,3327.32,48.06,579.76
2025-04,2507.49,39.06,491.74
2025-05,3197.83,43.06,476.5
2025-06,2911.74,42.33,456.49
2025-07,2446.16,41.55,483.16
2025-08,1768.34,37.82,480.93
2025-09,1961.92,45.67,502.36
2025-10,3053.45,45.47,486.57
2025-11,3665.24,53.14,489.66
2025-12,3025.05,51.72,532.27
2026-01,3023.28,46.74,533.25
2026-02,2987.76,53.79,515.6
2026-03,3210.94,39.78,535.06
