id,category,claim,confidence,evidence_type,exact_quote_or_finding,url,retrieved
S01,PLI programme,"There are 14 PLI sectors. Verbatim list includes mobile manufacturing, KSMs/APIs, medical devices, auto, pharmaceuticals, specialty steel, telecom, electronic/technology products, white goods, food products, textiles (MMF and technical), solar PV, ACC battery, drones.",VERIFIED,PIB press release (Lok Sabha written reply),'The 14 sectors are: (i) Mobile Manufacturing and Specified Electronic Components ... (xiv) Drones and Drone Components.',https://www.pib.gov.in/PressReleasePage.aspx?PRID=1945155,2026-08-26
S02,PLI programme,"There is no PLI scheme for plastics, for chemicals generally, or for engineering goods. Leather, ceramics and cotton textiles are also outside the programme.",VERIFIED,Derived directly from S01,Follows from the closed list in S01,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1945155,2026-08-26
S03,Electronics scheme,PLI-LSEM gazette notification 1 April 2020. Para 10.5: incentives applicable from 01.08.2020. Para 7: base year FY2019-20. Para 4 target segment: mobile phones and specified electronic components.,VERIFIED,Gazette notification,'Incentives under the Scheme will be applicable from 01.08.2020.',https://egazette.gov.in/WriteReadData/2020/218990.pdf,2026-08-26
S04,Electronics scheme,"MeitY amendment 23.09.2021 lets approved companies elect any 5 consecutive years FY2020-21 to FY2025-26; Year 1 incentives apply from 01.08.2020 or 01.08.2021 depending on the election. This is an applicant election, not a blanket shift.",VERIFIED,MeitY notification,'Incentives for Year 1 will be applicable from 01.08.2020 or 01.08.2021 depending on the choice of Year 1 (FY 2020-21 or FY 2021-22).',https://www.meity.gov.in/static/uploads/2024/02/Extension-of-tenure-of-PLI-LSEM_23.09.20211-1.pdf,2026-08-26
S05,Pharma scheme,"PLI for Pharmaceuticals: Cabinet 24.02.2021, gazette 03.03.2021, operational guidelines 01.06.2021. Incentive on incremental sales from FY2022-23. Base year FY2019-20. Categories 1/2/3 defined in para 3.5.",VERIFIED,Gazette notification + PIB confirmation,'The Government has approved the Production Linked Incentive Scheme for Pharmaceuticals on 24.02.2021 which was notified in the Gazette on 03.03.2021. The Operational Guidelines ... were issued on 01.06.2021.',https://pharma-dept.gov.in/sites/default/files/Gazette%20Notification%20of%20PLI%20scheme%20for%20Pharmaceuticals_0_0.pdf,2026-08-26
S06,White goods scheme,"PLI White Goods: Cabinet 07.04.2021, gazette 16.04.2021, guidelines 04.06.2021. Para 4.2 separates the investment year from the incremental-sale year. Base year FY2019-20 (NOT FY2020-21).",VERIFIED,Gazette notification,'The first year of investment will be FY 2021-22 and the first year of incremental sale will be FY 2022-23.',https://pliwhitegoods.ifciltd.com/docs/PLIWG%20Notification-16042021.pdf,2026-08-26
S07,Textiles scheme,"PLI Textiles notified 24.09.2021, guidelines 28.12.2021. Performance year 1 = FY2024-25. No base year - Year 1 pays on absolute turnover, Years 2-5 on >=25 percent incremental turnover. Annexure-II lists 14 MMF fabric HS codes.",VERIFIED,Ministry of Textiles notification,"'The participating company is expected to achieve this required turnover after a gestation period of two years, i.e. in FY 2024-2025, that will be termed as year 1'",https://pli.texmin.gov.in/frontend/images/Documents/1.%20PLI%20Textiles%20Notification_24.09.2021.pdf,2026-08-26
S08,Textiles scheme,Textiles PLI Cabinet approval calendar date is NOT stated on any primary source; only the PIB posting date of 08 SEP 2021 is verifiable.,NOT VERIFIED,PIB release carries no approval date,n/a,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1753118,2026-08-26
S09,HS classification,"India's Customs Tariff First Schedule was aligned to HS2022 by the Fifth Schedule to the Finance Act 2021, with effect from 01.01.2022.",VERIFIED,CBIC Tariff Unit guidance document,"'in order to align the first schedule of Customs Tariff Act,1975 with the HS 2022, necessary changes were brought in through the Fifth Schedule to the Finance Act, 2021, with effect from 01.01.2022.'",https://gst.kar.nic.in/latestupdates/GuidanceDocumentonCorrelationofCustomsTariffbetween202120222412.pdf,2026-08-28
S10,HS classification,"DGCI&S adopted ITC(HS) 2022 for STATISTICS from 1 April 2022, one quarter after the tariff change. DGCI&S adopts a new HS edition at the start of a financial year - the same pattern as HS2017 (tariff 01.01.2017, DGCI&S April 2017).",VERIFIED (title page + precedent); no explicit circular found,DGCI&S classification document title page + DGCI&S ITC(HS)-2017 page,"'INDIAN TRADE CLASSIFICATION (HARMONISED COMMODITY DESCRIPTION & CODING SYSTEM - 2022) (EFFECTIVE FROM 1ST APRIL, 2022)' and 'Indian Trade Classification (Harmonised System) - 2017 ... (Implemented at DGCI&S from April. 2017)'",https://www.dgciskol.gov.in/Writereaddata/Downloads/ITC-HS_2022.pdf ; https://www.dgciskol.gov.in/itchs_2017.aspx,2026-08-28
S11,HS classification,No DGCI&S circular or press note stating in terms that the monthly series switched to HS2022 in April 2022 could be found. The Jan-2022 vs Apr-2022 question therefore remains open and must be settled empirically.,NOT VERIFIED,DGCI&S Notice page carries only office orders; MSFTI pages carry no classification note,n/a,https://www.dgciskol.gov.in/Notice.aspx,2026-08-28
S12,HS continuity - electronics,"ITC(HS) 2017 as implemented at DGCI&S from April 2017: heading 8517 had 85171210 (push button type) and 85171290 (other) under subheading 851712, and 85177010 / 85177090 under 851770 (Parts).",VERIFIED,DGCI&S ITC(HS)-2017 Chapter 85 schedule,"'8517 12 Telephones for cellular networks or for other wireless networks: 8517 12 10 Push button type NOS / 8517 12 90 Other NOS' and '8517 70 Parts: 8517 70 10 Populated, loaded or stuffed Printed Circuit Boards NOS / 8517 70 90 Other KGS'",https://www.dgciskol.gov.in/writereaddata/Downloads/20170601185727CHP_85.pdf,2026-08-28
S13,HS continuity - electronics,By 31.12.2021 the Indian 8-digit breakdown under 851712 was 85171211 / 85171219 / 85171290 - NOT the 85171210 / 85171290 of the 2017 schedule. An undated intermediate national 8-digit change therefore occurred between April 2017 and December 2021.,VERIFIED that both structures existed; the DATE of the intermediate change is NOT VERIFIED,DGFT Notification 54 Annexure-II lists the deleted 2021 codes,"'85171211 Mobile phones, other than push button type DELETED / 85171219 Mobile phones, push button type DELETED / 85171290 --- Telephones for other wireless networks DELETED'",https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S14,HS continuity - electronics,"At HS2022 subheading 851712 was DELETED and 85171300 (Smartphones) and 85171400 (Other telephones for cellular or other wireless networks) were created. Subheading 851770 (Parts) was DELETED; 85177010 became 85177910, 85177090 became 85177990, and 85177100 (aerials and aerial reflectors) was created.",VERIFIED,DGFT Notification No. 54/2015-20 dated 09.02.2022 Annexure-II,'85171300 - - Smartphones Free / 85171400 - - Other telephones for cellular networks or for other wireless networks Free',https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
S15,HS continuity - electronics,"Heading 8517 is CLOSED across the HS2022 change: every deleted and every new code lies inside 8517, and no code from outside 8517 was moved in. 85195000 (telephone answering machines) was deleted but DGFT re-attaches its policy condition to 85198100, i.e. to heading 8519.",VERIFIED,DGFT Notification 54 Annexure-II (full Chapter 85 block read),Derived from the complete deletion/addition list for Chapter 85,https://content.dgft.gov.in/Website/dgftprod/7d5fd1eb-ad39-4c99-b760-014223657469/Eng-Notification%2054%20dated%209%20Feb%202022%20ITC(HS)%202022%20_with%20Annexures.pdf,2026-08-28
