# CONTROL BASKETS - ENUMERATED HS-6 CODE LIST
# Compiled 2026-08-29. Amended 2026-08-29 under approved Change Proposal 003 (DECISION_LOG.md D-003).
# Cross-checked at TWO vintages: Mar-2019 (ITC(HS)-2017 basis) and Apr-2024 (ITC(HS)-2022 basis).
# Codes selected by CHAPTER/HEADING MEMBERSHIP and PRODUCT DESCRIPTION ONLY.
# No code was included or excluded on the basis of its observed export value. Values were not consulted.
# vintage: BOTH = present and identical at both vintages.
# TOTALS: C1 = 20 | C2 = 25 | C3 = 70 | grand total 115 codes.
control_id,basket_component,hs6,description,vintage,include,note
C1_LEATHER,Chapter 42 - articles of leather,420100,Saddlery and harness for any animal,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420211,Trunks/suitcases/vanity cases/school satchels with outer surface of leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420212,Trunks/suitcases etc with outer surface of plastics or textile,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420219,Trunks/suitcases etc with outer surface of other materials,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420221,Handbags with outer surface of leather or composition leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420222,Handbags with outer surface of plastic sheeting or textile,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420229,Other handbags including those without handle,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420231,Articles carried in pocket/handbag with outer surface of leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420232,Articles carried in pocket/handbag with outer surface of plastics/textile,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420239,Articles carried in pocket/handbag of other material,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420291,Other articles with outer surface of leather or composition leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420292,Other articles with outer surface of plastic sheeting or textile,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420299,Other similar containers of heading 4202,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420310,Articles of apparel of leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420321,Gloves/mittens/mitts specially designed for use in sports,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420329,Gloves/mittens/mitts designed for other use,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420330,Belts and bandoliers,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420340,Other clothing accessories of leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420500,Other articles of leather or composition leather,BOTH,YES,
C1_LEATHER,Chapter 42 - articles of leather,420600,Articles of gut/goldbeaters skin/bladders or tendons,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640110,Waterproof footwear incorporating a protective metal toecap,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640192,Waterproof footwear covering the ankle but not the knee,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640199,Other waterproof footwear,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640212,Ski-boots/cross-country ski footwear/snowboard boots of rubber or plastics,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640219,Other sports footwear with outer soles and uppers of rubber/plastics,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640220,Footwear with upper straps or thongs assembled to sole by plugs,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640291,Footwear covering the ankle with outer soles and uppers of rubber/plastics,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640299,Other footwear of heading 6402,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640312,Ski boots/cross-country ski footwear/snowboard boots with leather uppers,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640319,Sports footwear with outer soles of rubber/plastics and uppers of leather,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640320,Footwear with outer soles of leather and uppers of leather straps,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640340,Other footwear incorporating a protective metal toe-cap,BOTH,YES,
C2_FOOTWEAR,Chapter 64 - footwear,640351,Ankle-covering footwear with outer soles of leather,BOTH,YES,
