basket_id,sector,role,pli_scheme,basket_definition_level,hs_2017_codes,hs_2021_codes,hs_2022_codes,post_apr2024_codes,basket_union_used,economic_definition,continuity_verdict,continuity_rationale,break_points_checked,verification_status,primary_source
B1_MOBILE,Electronics (telephone sets / mobile phones),CORE,PLI for Large Scale Electronics Manufacturing - mobile phone target segment,HS-6 union (the complete 8517.1x group),"851711 (85171110 Push button type; 85171190 Other); 851712 (85171210 Push button type; 85171290 Other); 851718 (85171810 Push button type; 85171890 Other)","851711; 851712 (85171211 Mobile phones other than push button; 85171219 Mobile phones push button; 85171290 Telephones for other wireless networks); 851718","851711; 851713 (85171300 Smartphones); 851714 (85171400 Other telephones for cellular or other wireless networks); 851718","851711 + 851713 + 851714 + 851718 unchanged; 851712 retired to zero by Mar-2023",851711 + 851712 + 851713 + 851714 + 851718,"Telephone sets of all kinds - the complete 8517.1x group. Economically one product class throughout: a telephone handset. The HS2022 split only separates smartphones from feature phones WITHIN that class. AMENDED 29-Aug-2026 under approved Change Proposal 001: 851711 and 851718 are included because the Jan-2022 customs-tariff transition pushed cellular handsets into those residual lines. Non-cellular content is immaterial in undisturbed months - Dec-2021 851711+851718 = 1.71 against 851712 = 775.78, i.e. 0.22 percent of the basket.",CONTINUOUS BY CONSTRUCTION - EMPIRICALLY CONFIRMED,"TWO transitions were observed, not one. (1) JANUARY 2022 - Customs Tariff moved to HS2022 on 01.01.2022 while the DGCI&S statistical directory still offered only HS2017 codes, so HS2022 declarations were mapped onto the nearest legacy codes: 851712 halved (775.78 to 230.90) while 851718 rose 196-fold (1.39 to 272.16) and 851711 rose 103-fold (0.32 to 33.06), with NO new codes appearing. A 196-fold jump in 'other telephone sets' is a classification artefact, not an economic event. (2) APRIL 2022 - DGCI&S directory switch: 851713 and 851714 first appear, 851770 falls to exactly 0.00 and is replaced by 851771/851779, and heading 8524 appears. Jan-Mar 2022 is therefore a contamination window in which the flow is split across 851711, 851712 and 851718. The five-code union is closed under BOTH transitions. The originally locked three-code union showed a 70 percent collapse into Jan-2022 and understated Mar-2022 by 38 percent - pure artefact, and it sat inside B1's post-intervention window where it would have biased beta3 directly.","Jan-2022: VERIFIED transition (tariff). Apr-2022: VERIFIED transition (statistical directory). Apr-2024: VERIFIED no HS-6 change - the documented 85176240/85176950 deletions are 8-digit only. Apr-2026: VERIFIED no change. Undated intermediate 8-digit change 2017-2021: FLAGGED - immaterial at HS-6.",VERIFIED FROM INDIAN GOVERNMENT SOURCE AND CONFIRMED BY DIRECT OBSERVATION,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II (Chapter 85 block); DGCI&S ITC(HS)-2017 Chapter 85 schedule; DGFT Notification No. 08/2023 dated 29.05.2023, Annexure-I; MEIDB observations in 01_raw_data/raw_trade_data/meidb_continuity_probe_2026-08-29.csv"
B1R_8517,Electronics robustness aggregate,CORE-ROBUSTNESS,same as B1,HS-4,8517 (all),8517 (all),8517 (all),8517 (all),8517 total,"Telephone sets and networking apparatus, and parts. Used only as a continuity cross-check on B1: if B1 has a break the HS-4 parent should not.",CONTINUOUS,"Heading 8517 is CLOSED across HS2022: every deleted 2021 code (851712, 85171211, 85171219, 85171290, 851770, 85177010, 85177090) and every new 2022 code (85171300, 85171400, 85177100, 85177910, 85177990) lies inside 8517. No code from outside 8517 was moved in. 85195000 (telephone answering machines) was deleted but DGFT re-attaches its policy condition to 85198100, i.e. it goes to 8519, not 8517.",Apr-2022 VERIFIED closed; Apr-2024 lost two 8-digit lines WITHIN 8517 (85176240 HDSL and 85176950 Subscriber end equipment) which does not affect the HS-4 total,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II; DGFT Notification No. 08/2023 dated 29.05.2023, Annexure-I"
B2_PHARMA,Pharmaceuticals (formulations),CORE,PLI Scheme for Pharmaceuticals (2021) - Category 1 and Category 3,HS-4 union,3003 + 3004 (all 8-digit lines),3003 + 3004 (all 8-digit lines),3003 + 3004 (all 8-digit lines unchanged),3003 + 3004 unchanged,3003 + 3004,"Medicaments: 3003 = not put up in measured doses or retail packings; 3004 = put up in measured doses or for retail sale. Together this is 'finished and bulk-formulated medicines', which is the economic content of PLI-Pharma Category 1 (biopharmaceuticals, complex generics, patented/near-patent-expiry drugs, cell and gene therapy, orphan drugs) and Category 3 (repurposed, autoimmune, anti-cancer, anti-diabetic, anti-infective, cardiovascular, psychotropic, anti-retroviral drugs).",FULLY CONTINUOUS,"ZERO rows for 3003 or 3004 anywhere in DGFT Notification 54 Annexure-II - no 8-digit code under either heading was created, deleted or renumbered at the HS2022 transition. Chapter 30 is absent from the Finance Act 2023 amended-chapter list (Apr-2024 directory). Budget 2025-26 TRU letter states 'Chapters 30 to 32: No change'. Nothing entered these headings and nothing left them.",Apr-2022 VERIFIED no change; Apr-2024 VERIFIED no change; Apr-2026 VERIFIED no change,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II; DGFT Notification No. 08/2023 dated 29.05.2023; Budget 2025-26 TRU letter (indiabudget.gov.in/budget2025-26/doc/cen/dojstru1.pdf)"
B3_AC,White Goods (air conditioners),CORE,PLI for White Goods (Air Conditioners and LED Lights) - AC target segment,HS-4,8415 (all 8-digit lines),8415 (all),8415 (all - unchanged),8415 unchanged,8415,"Air conditioning machines comprising a motor-driven fan and elements for changing temperature and humidity, and their parts (8415 90). This is the finished-goods and parts aggregate for room and packaged air conditioning.",FULLY CONTINUOUS - CLEANEST SERIES IN THE DESIGN,"The string 8415 does not occur anywhere in DGFT Notification 54 Annexure-II, which enumerates every deleted and every new 8-digit ITC(HS) code across Chapters 1-97. Chapter 84 amendments in the Finance Act 2023 (Apr-2024 directory) were confined to headings 8414 and 8419. Finance Act 2025 and Finance Act 2026 touch 8415 90 00 on RATE only, with no code change. Therefore no 8415 code was created, deleted or renumbered at any point in the study window, and nothing entered or left the heading.",Apr-2022 VERIFIED no change; Apr-2024 VERIFIED no change; Apr-2026 VERIFIED rate-only change,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II; DGFT Notification No. 08/2023 dated 29.05.2023, Annexure-I; Budget 2026-27 TRU letter"
B4_TEXTILE,Textiles (MMF fabrics),ROBUSTNESS,PLI Scheme for Textiles - Annexure-II MMF Fabrics,HS-6 list,"540710, 540720, 540742, 540752, 540754, 540761, 540769, 551219, 551511, 551614, 580632, 600192, 600537, 600632",same 14 codes,same 14 codes - all unchanged,same 14 codes unchanged,the 14 codes as listed,"Man-made-fibre fabrics: textured and non-textured polyester filament woven fabrics, nylon/other polyamide filament woven fabrics, polyester and artificial staple woven fabrics, narrow woven MMF, and knitted/crocheted synthetic pile and warp-knit fabrics. This is the exact list the Ministry of Textiles notification itself publishes in Annexure-II.",FULLY CONTINUOUS,"None of the 14 codes appears in DGFT Notification 54 Annexure-II. Chapter 54 and Chapter 60 have ZERO rows in that annexure. Chapter 55's only HS2022 change was the 5501.10 aramid split (55011000 deleted; 55011100 and 55011900 created), which touches none of the listed codes. Chapter 58's only change was heading 5802 (terry towelling); code 580632 sits in heading 5806 and is unaffected. At Apr-2024 the only Chapter 54 change was heading 5402 (54021110 to 54021100; 54025990 to 54025900) - again none of the listed codes. Chapters 55, 58, 60 not amended at Apr-2024. Apr-2026: 'Chapters 42 to 59: No change' and 'Chapter 57-65: No Change'.",Apr-2022 VERIFIED no change; Apr-2024 VERIFIED no change; Apr-2026 VERIFIED no change,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"Ministry of Textiles PLI Notification 24.09.2021 Annexure-II; DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II; DGFT Notification No. 08/2023 dated 29.05.2023; Budget 2025-26 and 2026-27 TRU letters"
X1_TEXTILE_APPAREL,Textiles (MMF apparel) - EXCLUDED,EXCLUDED,PLI Scheme for Textiles - Annexure-I MMF Apparel,HS-6,"620113, 620193, 620213, 620293 (MMF lines among the 40 Annexure-I headings)",same,"620140 (62014010/62014090), 620240 (62024010/62024090)",unchanged,would require 620113+620193+620140 and 620213+620293+620240,"Men's/boys' and women's/girls' overcoats, anoraks and windcheaters of man-made fibres.",DISCONTINUOUS BUT MAPPABLE,"HS2022 collapsed the parallel 'overcoats' (..11/..12/..13/..19) and 'anoraks/windcheaters' (..91/..92/..93/..99) structures of headings 6201 and 6202 into a single fibre-based structure (..20 wool, ..30 cotton, ..40 man-made fibres, ..90 other), pushing the article distinction to India's 8th digit. Roughly 24 codes deleted and 16 created across 6201/6202. A union basket is constructible but the pre-2022 MMF total must combine TWO article-based headings that the post-2022 data merges into one - so the union is not a clean like-for-like. EXCLUDED to keep B4 clean; documented here so the exclusion is auditable.",Apr-2022 VERIFIED changed; Apr-2024 description-only changes in 6213/6217,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II (Chapter 62 block)"
X2_TELECOM,Telecom equipment - DROPPED,DROPPED,PLI for Telecom and Networking Products,HS-6 residual,8517 less phone lines,same,same,"85176240 and 85176950 DELETED at Apr-2024",would be 851711+851718+851761+851762+851769+851770/851771/851779,"Base stations, transmission and switching apparatus, routers, CPE and parts.",CONTINUOUS AT HS-6 ONLY,"Within-8517 so the parent is closed, but (i) 851770 Parts was deleted and replaced by 851771 (aerials - NEW, no 2021 predecessor) plus 851779, so the parts component is NOT a clean union; and (ii) at Apr-2024 two 8-digit lines were deleted (85176240 HDSL, 85176950 Subscriber end equipment) with their trade re-allocated to the residual 'Other' lines in the same 6-digit headings. Continuity is achievable at 6-digit but the basket itself is defined by analyst judgement, not by the scheme.",Apr-2022 VERIFIED partial change; Apr-2024 VERIFIED 8-digit deletions,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022; DGFT Notification No. 08/2023 dated 29.05.2023, Annexure-I"
X3_3002,Pharmaceutical biologicals - DO NOT USE,EXCLUDED,n/a,HS-4,3002,3002,3002 restructured,unchanged,not usable,"Blood fractions, antisera, vaccines, cell cultures.",NOT CONTINUOUS,"Most of the 3002 restructuring is internal (vaccines 300220/300230 to 300241/300242; toxins and cultures 300290xx to 300249xx; new 300251/300259 cell-therapy lines) and stays inside heading 3002. BUT 30021100 (Malaria diagnostic test kits) was DELETED from Chapter 30 outright with no successor inside 3002, so an HS-4 3002 series has a genuine downward break in 2022. Heading 3006 has the same problem via 30062000 (Blood-grouping reagents). The standard destination (Chapter 38) is NOT VERIFIED from an Indian source.",Apr-2022 VERIFIED broken,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II (Chapter 30 block)"
X4_2941,Antibiotics (API proxy) - CONDITIONAL,CONDITIONAL - DO NOT MAKE LOAD-BEARING,PLI for KSMs/DIs/APIs (bulk drugs),HS-4,2941,2941,2941 unchanged,2941 unchanged at Apr-2024,2941,"Antibiotics - the only HS-4 heading that maps cleanly to a named bulk-drug product family.",CONTINUOUS TO APR-2024; OPEN RISK THEREAFTER,"ZERO rows for 2941 in DGFT Notification 54 Annexure-II and no Chapter 29 change at 2941 in the Finance Act 2023 amendments. HOWEVER the Finance Act 2025 (w.e.f. 01.05.2025) created or modified 18 supplementary notes and tariff items in Chapter 29 without the government TRU letter itemising the headings, and a commercial briefing lists 2941 among them. NOT VERIFIED from a government source. Do not build a headline result on 2941 until the Finance Act 2025 Third Schedule is read directly.",Apr-2022 VERIFIED no change; Apr-2024 VERIFIED no change; Apr-2026 NOT VERIFIED - OPEN ITEM,PARTIALLY VERIFIED - OPEN ITEM,"DGFT Notification No. 54/2015-20 dated 09.02.2022; Budget 2025-26 TRU letter (headings not itemised)"
X5_8524,Flat panel display modules - DO NOT USE,EXCLUDED,n/a,HS-4,did not exist,did not exist,"85241100, 85241200, 85241900, 85249100, 85249200, 85249900","all six DELETED and replaced by 24 new 8-digit lines (..10/..20/..30/..90 under each 6-digit subheading)",not usable,"Flat panel display modules.",NOT CONTINUOUS - TWICE BROKEN,"Heading 8524 is new at HS2022 and was fed partly from 85299030 (open cell for television set, inside Chapter 85) and partly from 90138010/90138090 (LCD devices, OUTSIDE Chapter 85). It was then completely renumbered in the Apr-2024 directory, 6 codes out and 24 in. Consequence: a CHAPTER-85 total is NOT continuous across Apr-2022 because goods entered Chapter 85 from Chapter 90. Never build a Chapter-85 aggregate.",Apr-2022 VERIFIED new heading with cross-chapter inflow; Apr-2024 VERIFIED complete renumbering,VERIFIED FROM INDIAN GOVERNMENT SOURCE,"DGFT Notification No. 54/2015-20 dated 09.02.2022, Annexure-II; DGFT Notification No. 08/2023 dated 29.05.2023, Annexure-I"
