month,basket_id,sector,role,export_usd_mn,export_inr_cr,quantity,quantity_unit,hs_level_used,codes_summed,n_codes,vintage_flag,retrieval_date,source_file,notes
2018-04,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,26.65,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-04,B2_PHARMA,Pharmaceutical formulations,CORE,990.19,,,,6,3003xx+3004xx,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-04,B3_AC,Air conditioners,CORE,13.83,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-04,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,71.22,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-04,C1_LEATHER,Leather goods,CONTROL,172.42,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-04,C2_FOOTWEAR,Footwear,CONTROL,209.55,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-04,C3_COTTON,Cotton woven fabrics,CONTROL,153.56,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,56.39,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-05,B2_PHARMA,Pharmaceutical formulations,CORE,1046.5,,,,6,3003xx+3004xx,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,B3_AC,Air conditioners,CORE,16.08,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,73.89,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,C1_LEATHER,Leather goods,CONTROL,190.58,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,C2_FOOTWEAR,Footwear,CONTROL,226.47,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-05,C3_COTTON,Cotton woven fabrics,CONTROL,149.76,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-06,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,61.38,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-06,B2_PHARMA,Pharmaceutical formulations,CORE,1134.57,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
