block,basket_id,metric,value,note
descriptives,B1_MOBILE,n,96,
descriptives,B1_MOBILE,n_pre,28,
descriptives,B1_MOBILE,n_post,68,
descriptives,B1_MOBILE,level_min,26.65,
descriptives,B1_MOBILE,level_max,3166.91,
descriptives,B1_MOBILE,level_mean,985.2,
descriptives,B1_MOBILE,ratio_max_min,118.8,
descriptives,B1_MOBILE,growth_sd_full,40.25,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,growth_sd_pre,59.52,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,growth_sd_post,29.96,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,growth_min,-206.47,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,growth_max,101.78,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,n_growth_pre,27,log-growth points (lgp) - NOT percentage growth
descriptives,B1_MOBILE,n_growth_post,68,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,n,96,
descriptives,B2_PHARMA,n_pre,48,
descriptives,B2_PHARMA,n_post,48,
descriptives,B2_PHARMA,level_min,990.19,
descriptives,B2_PHARMA,level_max,2735.13,
descriptives,B2_PHARMA,level_mean,1524.26,
descriptives,B2_PHARMA,ratio_max_min,2.8,
descriptives,B2_PHARMA,growth_sd_full,11.43,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,growth_sd_pre,10.37,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,growth_sd_post,12.47,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,growth_min,-39.07,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,growth_max,40.25,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,n_growth_pre,47,log-growth points (lgp) - NOT percentage growth
descriptives,B2_PHARMA,n_growth_post,48,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,n,96,
descriptives,B3_AC,n_pre,48,
descriptives,B3_AC,n_post,48,
descriptives,B3_AC,level_min,0.86,
descriptives,B3_AC,level_max,53.79,
descriptives,B3_AC,level_mean,24.48,
descriptives,B3_AC,ratio_max_min,62.5,
descriptives,B3_AC,growth_sd_full,41.22,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,growth_sd_pre,54.77,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,growth_sd_post,21.5,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,growth_min,-275.79,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,growth_max,222.15,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,n_growth_pre,47,log-growth points (lgp) - NOT percentage growth
descriptives,B3_AC,n_growth_post,48,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,n,96,
descriptives,B4_TEXTILE,n_pre,72,
descriptives,B4_TEXTILE,n_post,24,
descriptives,B4_TEXTILE,level_min,9.23,
descriptives,B4_TEXTILE,level_max,119.97,
descriptives,B4_TEXTILE,level_mean,82.76,
descriptives,B4_TEXTILE,ratio_max_min,13.0,
descriptives,B4_TEXTILE,growth_sd_full,29.75,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,growth_sd_pre,33.05,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,growth_sd_post,17.13,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,growth_min,-220.66,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,growth_max,105.24,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,n_growth_pre,71,log-growth points (lgp) - NOT percentage growth
descriptives,B4_TEXTILE,n_growth_post,24,log-growth points (lgp) - NOT percentage growth
log_transform,B1_MOBILE,cv_of_levels,0.887,
log_transform,B1_MOBILE,corr_annual_sd_vs_mean_LEVEL,0.589,
log_transform,B1_MOBILE,corr_abs_growth_vs_lnY,-0.416,
log_transform,B2_PHARMA,cv_of_levels,0.184,
log_transform,B2_PHARMA,corr_annual_sd_vs_mean_LEVEL,0.468,
log_transform,B2_PHARMA,corr_abs_growth_vs_lnY,0.173,
log_transform,B3_AC,cv_of_levels,0.471,
log_transform,B3_AC,corr_annual_sd_vs_mean_LEVEL,0.826,
log_transform,B3_AC,corr_abs_growth_vs_lnY,-0.568,
log_transform,B4_TEXTILE,cv_of_levels,0.206,
