basket,order,aic,bic,converged
B1_MOBILE,"(1,0,1)(0,0,0)[12]",37.583,86.306,True
B1_MOBILE,"(1,0,0)(0,0,0)[12]",37.747,83.905,True
B1_MOBILE,"(1,0,0)(0,0,1)[12]",38.3,87.022,False
B1_MOBILE,"(2,0,0)(0,0,0)[12]",38.508,87.23,True
B1_MOBILE,"(1,0,0)(1,0,0)[12]",38.512,87.234,True
B1_MOBILE,"(0,0,1)(0,0,0)[12]",52.644,98.803,True
B1_MOBILE,"(0,0,1)(0,0,1)[12]",54.312,103.034,True
B1_MOBILE,"(0,0,0)(0,0,1)[12]",74.813,120.971,True
B1_MOBILE,"(0,0,0)(1,0,0)[12]",75.182,121.34,True
B2_PHARMA,"(1,0,0)(0,0,0)[12]",-204.271,-158.113,True
B2_PHARMA,"(0,0,0)(1,0,0)[12]",-192.499,-146.341,True
B2_PHARMA,"(0,0,0)(0,0,1)[12]",-144.544,-98.385,True
B2_PHARMA,"(1,0,0)(0,0,1)[12]",-142.905,-94.183,True
B2_PHARMA,"(1,0,0)(1,0,0)[12]",-90.136,-41.414,False
B2_PHARMA,"(0,0,1)(0,0,0)[12]",-79.404,-33.245,True
B2_PHARMA,"(2,0,0)(0,0,0)[12]",-77.981,-29.258,True
B2_PHARMA,"(0,0,1)(0,0,1)[12]",-23.156,25.566,True
B2_PHARMA,"(1,0,1)(0,0,0)[12]",131.254,179.977,True
B3_AC,"(2,0,0)(0,0,0)[12]",4.458,53.181,True
B3_AC,"(1,0,0)(0,0,1)[12]",5.698,54.421,True
B3_AC,"(0,0,1)(0,0,1)[12]",8.52,57.242,True
B3_AC,"(0,0,0)(0,0,1)[12]",11.138,57.297,False
B3_AC,"(0,0,0)(1,0,0)[12]",13.565,59.723,True
B3_AC,"(0,0,1)(0,0,0)[12]",14.103,60.262,False
B3_AC,"(1,0,0)(1,0,0)[12]",14.558,63.281,True
B3_AC,"(1,0,0)(0,0,0)[12]",19.147,65.305,True
B3_AC,"(1,0,1)(0,0,0)[12]",19.342,68.065,True
B4_TEXTILE,"(0,0,1)(0,0,0)[12]",-51.801,-5.642,False
B4_TEXTILE,"(1,0,0)(1,0,0)[12]",-48.885,-0.163,True
B4_TEXTILE,"(1,0,0)(0,0,0)[12]",-45.986,0.172,True
B4_TEXTILE,"(2,0,0)(0,0,0)[12]",-45.848,2.874,True
B4_TEXTILE,"(0,0,0)(1,0,0)[12]",-44.124,2.034,True
B4_TEXTILE,"(1,0,1)(0,0,0)[12]",-38.358,10.365,True
B4_TEXTILE,"(0,0,0)(0,0,1)[12]",53.763,99.921,True
B4_TEXTILE,"(1,0,0)(0,0,1)[12]",54.831,103.553,True
B4_TEXTILE,"(0,0,1)(0,0,1)[12]",60.45,109.173,True
