unit,spec,estimator,se_type,n,beta2_level,beta2_se_hac3,beta2_se_hac12,beta2_p_hac12,beta3_trendchange,beta3_se_hac3,beta3_se_hac12,beta3_p_hac3,beta3_p_hac12,beta3_ci_lo,beta3_ci_hi,beta3_lgp_per_month,beta1_pretrend,r2_adj,converged,note
B1_MOBILE,A0_baseline_locked,OLS+HAC,Newey-West HAC,96,-0.56226,0.33999,0.33407,0.0924,-0.02921,0.01944,0.0202,0.1329,0.1481,-0.06879,0.01038,-2.921,0.06538,0.9199,True,LOCKED PRIMARY
B2_PHARMA,A0_baseline_locked,OLS+HAC,Newey-West HAC,96,-0.07524,0.03634,0.04307,0.0806,-0.00134,0.00127,0.00152,0.2943,0.3785,-0.00431,0.00164,-0.134,0.00765,0.8219,True,LOCKED PRIMARY
B3_AC,A0_baseline_locked,OLS+HAC,Newey-West HAC,96,0.04325,0.07047,0.05405,0.4236,0.00874,0.00305,0.00272,0.0041,0.0013,0.00341,0.01407,0.874,0.00934,0.8066,True,LOCKED PRIMARY
B4_TEXTILE,A0_baseline_locked,OLS+HAC,Newey-West HAC,96,-0.00494,0.04736,0.05471,0.9281,0.0005,0.00337,0.00233,0.8816,0.8291,-0.00406,0.00506,0.05,0.0017,0.6611,True,LOCKED PRIMARY
B1_MOBILE,A1_ARMA_errors_AICbest,"SARIMAX(1,0,1)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,0.30796,,0.51475,0.5497,-0.01553,,0.01797,,0.3874,-0.05074,0.01968,-1.553,0.04545,,True,AIC=37.58; LB(12) on resid p=0.1043
B1_MOBILE,A2_ARMA_fixed_AR1,"SARIMAX(1,0,0)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,0.27732,,0.28282,0.3268,-0.00965,,0.01424,,0.4982,-0.03756,0.01827,-0.965,0.04081,,True,AIC=37.75; LB(12) on resid p=0.0180; fixed comparator
B2_PHARMA,A1_ARMA_errors_AICbest,"SARIMAX(1,0,0)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,-0.03414,,0.07251,0.6378,-0.00145,,0.00243,,0.5514,-0.00622,0.00332,-0.145,0.00701,,True,AIC=-204.27; LB(12) on resid p=0.6641
B2_PHARMA,A2_ARMA_fixed_AR1,"SARIMAX(1,0,0)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,-0.03414,,0.07251,0.6378,-0.00145,,0.00243,,0.5514,-0.00622,0.00332,-0.145,0.00701,,True,AIC=-204.27; LB(12) on resid p=0.6641; fixed comparator
B3_AC,A1_ARMA_errors_AICbest,"SARIMAX(2,0,0)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,0.03873,,0.12441,0.7556,0.00852,,0.0039,,0.0287,0.00089,0.01616,0.852,0.00952,,True,AIC=4.46; LB(12) on resid p=0.1461
B3_AC,A2_ARMA_fixed_AR1,"SARIMAX(1,0,0)(0,0,0)[12]",ML (SARIMAX z-based) - stored in *_hac12 columns for layout; NOT HAC,96,0.05,,0.18347,0.7852,0.00883,,0.00616,,0.1517,-0.00324,0.02091,0.883,0.00911,,True,AIC=19.15; LB(12) on resid p=0.0024; fixed comparator
