basket,month,h,model,actual_lnY,cf_lnY,cf_lo95,cf_hi95,cf_lo80,cf_hi80,actual_usd,cf_usd,gap_log_pts,gap_pct,inside_95,selection,selection_note
B1_MOBILE,2020-08,1,snaive,5.5002,5.9196,3.8337,8.0055,4.5557,7.2835,244.74,372.25,-41.94,-34.3,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2020-09,2,snaive,5.3991,5.625,3.5391,7.7108,4.2611,6.9888,221.2,277.26,-22.59,-20.2,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2020-10,3,snaive,5.6814,5.8822,3.7963,7.9681,4.5183,7.2461,293.37,358.59,-20.07,-18.2,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2020-11,4,snaive,6.0871,6.057,3.9711,8.1429,4.6931,7.4209,440.15,427.09,3.01,3.1,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2020-12,5,snaive,6.0367,5.6856,3.5997,7.7715,4.3217,7.0495,418.51,294.6,35.11,42.1,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-01,6,snaive,5.9931,5.838,3.7521,7.9239,4.4741,7.2019,400.65,343.08,15.51,16.8,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-02,7,snaive,5.7604,6.2363,4.1504,8.3222,4.8724,7.6002,317.48,510.95,-47.59,-37.9,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-03,8,snaive,6.1561,5.4801,3.3942,7.566,4.1162,6.844,471.57,239.87,67.6,96.6,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-04,9,snaive,5.1366,3.4154,1.3295,5.5013,2.0515,4.7793,170.13,30.43,172.11,459.1,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-05,10,snaive,5.4508,4.2628,2.1769,6.3487,2.8989,5.6267,232.94,71.01,118.8,228.0,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-06,11,snaive,5.4492,4.2736,2.1877,6.3595,2.9097,5.6375,232.57,71.78,117.56,224.0,True,FINAL,"LOCKED: benchmark only, not model-selected"
B1_MOBILE,2021-07,12,snaive,6.0476,4.9496,2.8637,7.0355,3.5857,6.3135,423.11,141.12,109.8,199.8,True,FINAL,"LOCKED: benchmark only, not model-selected"
B2_PHARMA,2022-04,1,snaive,7.2832,7.2331,6.9994,7.4669,7.0803,7.386,1455.59,1384.55,5.0,5.1,True,FINAL,"selected: lowest RMSE outright, coverage 0.953"
B2_PHARMA,2022-05,2,snaive,7.2556,7.2193,6.9855,7.453,7.0664,7.3721,1416.02,1365.52,3.63,3.7,True,FINAL,"selected: lowest RMSE outright, coverage 0.953"
B2_PHARMA,2022-06,3,snaive,7.3049,7.3068,7.0731,7.5406,7.154,7.4597,1487.62,1490.45,-0.19,-0.2,True,FINAL,"selected: lowest RMSE outright, coverage 0.953"
