basket,windows,variant,straddle,n_pre,n_post,sigma_pre,sigma_post,dsigma,pct_dsigma,mbb_ci_lo,mbb_ci_hi,ci_excl_zero
B1_MOBILE,symmetric_pm24,baseline,incl_straddle,24,24,61.09,37.67,-23.42,-38.3,-47.84,12.13,False
B1_MOBILE,symmetric_pm24,baseline,excl_straddle,24,23,61.09,37.04,-24.04,-39.4,-47.36,12.74,False
B1_MOBILE,symmetric_pm24,exCOVID_MarSep2020,incl_straddle,19,22,36.7,37.77,1.08,2.9,-17.79,19.48,False
B1_MOBILE,symmetric_pm24,exCOVID_MarSep2020,excl_straddle,19,22,36.7,37.77,1.08,2.9,-17.64,20.0,False
B1_MOBILE,full_windows,baseline,incl_straddle,27,68,59.52,29.96,-29.56,-49.7,-49.52,4.17,False
B1_MOBILE,full_windows,baseline,excl_straddle,27,67,59.52,29.52,-30.0,-50.4,-49.11,4.51,False
B1_MOBILE,full_windows,exCOVID_MarSep2020,incl_straddle,22,66,37.2,29.7,-7.5,-20.2,-22.1,9.47,False
B1_MOBILE,full_windows,exCOVID_MarSep2020,excl_straddle,22,66,37.2,29.7,-7.5,-20.2,-21.8,8.59,False
B2_PHARMA,symmetric_pm24,baseline,incl_straddle,24,24,10.95,10.69,-0.27,-2.4,-2.91,2.72,False
B2_PHARMA,symmetric_pm24,baseline,excl_straddle,24,23,10.95,10.49,-0.46,-4.2,-2.73,2.91,False
B2_PHARMA,symmetric_pm24,exCOVID_MarSep2020,incl_straddle,18,24,11.0,10.69,-0.31,-2.8,-3.3,3.11,False
B2_PHARMA,symmetric_pm24,exCOVID_MarSep2020,excl_straddle,18,23,11.0,10.49,-0.51,-4.6,-3.17,3.2,False
B2_PHARMA,full_windows,baseline,incl_straddle,47,48,10.37,12.47,2.1,20.3,-1.64,7.59,False
B2_PHARMA,full_windows,baseline,excl_straddle,47,47,10.37,12.45,2.08,20.0,-1.62,7.68,False
B2_PHARMA,full_windows,exCOVID_MarSep2020,incl_straddle,40,48,10.2,12.47,2.27,22.3,-1.43,7.92,False
B2_PHARMA,full_windows,exCOVID_MarSep2020,excl_straddle,40,47,10.2,12.45,2.25,22.0,-1.35,8.29,False
B3_AC,symmetric_pm24,baseline,incl_straddle,24,24,75.98,23.58,-52.41,-69.0,-66.3,13.48,False
B3_AC,symmetric_pm24,baseline,excl_straddle,24,23,75.98,23.31,-52.67,-69.3,-66.01,14.14,False
B3_AC,symmetric_pm24,exCOVID_MarSep2020,incl_straddle,18,24,17.12,23.58,6.46,37.7,-1.49,16.7,False
B3_AC,symmetric_pm24,exCOVID_MarSep2020,excl_straddle,18,23,17.12,23.31,6.2,36.2,-1.36,17.17,False
B3_AC,full_windows,baseline,incl_straddle,47,48,54.77,21.5,-33.27,-60.7,-74.7,9.27,False
B3_AC,full_windows,baseline,excl_straddle,47,47,54.77,21.35,-33.42,-61.0,-73.84,9.15,False
B3_AC,full_windows,exCOVID_MarSep2020,incl_straddle,40,48,15.52,21.5,5.98,38.5,-0.8,11.87,False
B3_AC,full_windows,exCOVID_MarSep2020,excl_straddle,40,47,15.52,21.35,5.83,37.6,-0.63,12.09,False
B4_TEXTILE,symmetric_pm24,baseline,incl_straddle,24,24,13.48,17.13,3.64,27.0,-1.65,8.88,False
B4_TEXTILE,symmetric_pm24,baseline,excl_straddle,24,23,13.48,16.67,3.19,23.6,-1.85,8.67,False
B4_TEXTILE,symmetric_pm24,exCOVID_MarSep2020,incl_straddle,24,24,13.48,17.13,3.64,27.0,-1.52,8.58,False
B4_TEXTILE,symmetric_pm24,exCOVID_MarSep2020,excl_straddle,24,23,13.48,16.67,3.19,23.6,-1.89,8.56,False
B4_TEXTILE,full_windows,baseline,incl_straddle,71,24,33.05,17.13,-15.92,-48.2,-40.15,4.57,False
B4_TEXTILE,full_windows,baseline,excl_straddle,71,23,33.05,16.67,-16.37,-49.5,-38.21,4.86,False
B4_TEXTILE,full_windows,exCOVID_MarSep2020,incl_straddle,64,24,14.26,17.13,2.87,20.1,-1.49,6.02,False
B4_TEXTILE,full_windows,exCOVID_MarSep2020,excl_straddle,64,23,14.26,16.67,2.41,16.9,-1.83,6.33,False
