Status,Sector,PLI_Scheme_Official_Name,Ministry,Cabinet_Approval_Date,Notification_Date,Notification_Ref,Guidelines_Date,Base_Year,First_Incentive_Period_Start,Intervention_Date_Ds,Alternative_Dates_for_R1,Covered_Products_Scheme_Wording,Proposed_HS_Basis,HS_Verification_Status,Mapping_Confidence,Notes_and_Vulnerabilities,Primary_Source_URL
PROPOSED,Mobile phones,Production Linked Incentive Scheme (PLI) for Large Scale Electronics Manufacturing,MeitY,Gazette/MeitY state 2020-03-20; corresponding PIB release carries posting date 2020-03-21 (likely a next-day posting - cite the 20.03.2020 gazette date and note the PIB posting date; do not present as a factual conflict),01-04-2020,"Gazette No. 84, CG-DL-E-01042020-218990, F.No. W-28/1/2019-IPHW-MeitY",01-06-2020,FY2019-20,01-08-2020,2020-08,2020-03-20 (Cabinet per gazette); 2020-04-01 (notification); 2021-08-01 (elected Year 1 under 23.09.2021 amendment); 2020-08 +/- 3 months,Para 4: 'The Scheme shall only be applicable for target segments namely mobile phones and specified electronic components (as detailed in Annexure B).' Eligibility annexure splits into 'Mobile Phones (Invoice value of INR 15000 and above)' and 'Mobile Phones (Domestic Companies)'.,"851712 (through Mar-2022) + 851713 + 851714 (from Apr-2022), summed across vintages. HS-4 8517 total as continuity robustness.",TO VERIFY - see Phase 2 Step 2. HS2022 believed to split 8517.12 into 8517.13 (smartphones) and 8517.14 (other telephones for cellular networks). HIGH confidence but NOT verified against India ITC(HS)-2022 schedule.,HIGH (scheme names the product; HS lines specific) - pending HS verification,"Para 10.5 of the ORIGINAL 1 Apr 2020 gazette states 'Incentives under the Scheme will be applicable from 01.08.2020' - this was NOT introduced by a later amendment. The 23.09.2021 amendment lets approved companies ELECT any 5 consecutive years FY2020-21 to FY2025-26; it is an applicant election, not a blanket shift of Year 1. VULNERABILITIES: only 28 pre-months. COVID ASYMMETRY - the Apr-Jun 2020 collapse falls in the pre-period and the Jul 2020 to Mar 2021 rebound falls in the post-period; without a Covid control this depresses beta1 and steepens the post segment, both pushing beta3 UPWARD, and the block Covid dummy absorbs the collapse but NOT the rebound, so a residual upward bias survives the baseline specification. The sign of the bias in delta-sigma is AMBIGUOUS, since the rebound inflates sigma_post as well as sigma_pre. Also: exports include re-exports; high import content means gross export value overstates domestic value added.",https://egazette.gov.in/WriteReadData/2020/218990.pdf
PROPOSED,Telecom and networking equipment,Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India,Department of Telecommunications (Ministry of Communications),17-02-2021,24-02-2021,"Gazette Extraordinary Part I Sec.1 No. 68, CG-DL-E-24022021-225442, F.No. 13-01/2020-IC",03-06-2021,FY2019-20 (sales); investment baseline as on 31.03.2021,01-04-2021,2021-04,2021-02-17 (Cabinet); 2021-02-24 (notification); 2021-06-04 (application window opens); 2021-04 +/- 3 months,"Annexure-1 'List of Specified Telecom and Networking Products': (1) Core Transmission Equipment - DWDM, OTN, MSPP, SDH, PTN/MPLS, GPON/NG-PON OLT, Digital Microwave Radio; (2) 4G/5G Next Generation Radio Access Network and Wireless Equipment; (3) Access and Customer Premises Equipment (CPE), IoT Access Devices and Other Wireless Equipment; (4) Enterprise equipment: Switches, Routers; (5) Any Other Product as decided by EGoS. Eleven products added by OM dated 20.06.2022.","HS-4 8517 MINUS the mobile-phone lines, i.e. base stations and machines for reception/conversion/transmission/regeneration (8517.61 / 8517.62 / 8517.69 family) plus parts. Exact HS-8 line list TO BE DOCUMENTED LINE BY LINE.",TO VERIFY. HS2022 also believed to have restructured 8517.70 (parts) into 8517.71 (aerials/antennas) and 8517.79 (other parts). NOT verified against India ITC(HS)-2022.,MEDIUM,"The notification lists PRODUCTS, not HS codes. HS-8 line selection is analyst judgement and is the main vulnerability - it must be documented line by line with a written rationale, and HS-4 used as the robustness aggregation. Note: the widely repeated application window '1 April - 3 May 2021' is WRONG; the actual window was 4 June - 3 July 2021 (PIB PRID 1724121). 1 April 2021 is the EFFECTIVE date per notification para 6: 'The scheme will be effective from 1st April, 2021.'",https://www.pib.gov.in/PressReleasePage.aspx?PRID=1698686
PROPOSED,Bulk drugs / APIs and drug intermediates,Two schemes overlap - (i) PLI for promotion of domestic manufacturing of critical Key Starting Materials (KSMs)/Drug Intermediates (DIs) and Active Pharmaceutical Ingredients (APIs) in India; (ii) Production Linked Incentive Scheme (PLI) for Pharmaceuticals,Department of Pharmaceuticals (Ministry of Chemicals and Fertilizers),"(i) gazette text says 'approved by the Government of India on 20th March 2020' - note this is GOVERNMENT approval wording, not explicitly 'Cabinet'; corresponding PIB release posted 2020-03-21; (ii) 2021-02-24",(i) 2020-07-21; (ii) 2021-03-03,"(i) No. 172, CG-DL-E-21072020-220616, No. 31026/16/2020-Policy; (ii) No. 76, CG-DL-E-03032021-225603, No. 31026/60/2020-Policy-DoP",(i) 2020-10-29 (revised); (ii) 2021-06-01,FY2019-20 (both),(i) FY2022-23 for chemical-synthesis products / FY2023-24 for fermentation products; (ii) FY2022-23,2022-04,2020-07-21 and 2021-03-03 (notifications); 2023-04-01 (fermentation route first incentive year); 2022-04 +/- 3 months,"(i) '41 products, which cover all the identified 53 APIs' across four target segments: fermentation-based KSMs/DIs (4); fermentation-based niche KSMs/DIs/APIs (10); key chemical-synthesis KSMs/DIs (4); other chemical-synthesis KSMs/DIs/APIs (23). GREENFIELD PROJECTS ONLY. (ii) Category 1: biopharmaceuticals, complex generics, patented/near-patent-expiry drugs, cell/gene therapy, orphan drugs, special empty capsules, complex excipients, phyto-pharmaceuticals. Category 2: APIs/KSMs/DIs. Category 3: repurposed drugs, autoimmune/anti-cancer/anti-diabetic/anti-infective/cardiovascular/psychotropic/anti-retroviral drugs, IVDs, drugs not manufactured in India.",Anchor to the DGCI&S Principal Commodity group for BULK DRUGS (pull the exact PC code from the live MEIDB dropdown) rather than a hand-built HS list. Cross-check against HS Ch.29 API/intermediate lines plus 2941 (antibiotics).,TO VERIFY - pull the PC group code and its HS-8 constituent list from MEIDB 'Principal commodity wise all HSCode' report.,MEDIUM,"CRITICAL FRAMING: the bulk-drugs PLI is greenfield-only and its STATED purpose is reducing API IMPORT DEPENDENCE, not raising exports. A null beta3 is the EXPECTED result and should be framed as consistent with scheme design, not as a failed test. DO NOT use the QE group 'Drugs & Pharmaceuticals' - it is dominated by FORMULATIONS, the opposite end of the value chain from the APIs/KSMs the bulk-drugs PLI targets. This is exactly the misclassification in the existing project. ADVANTAGE: Ds = Apr 2022 gives a balanced 48/48 pre/post split - the strongest statistical case in the sector set.",https://pharma-dept.gov.in/sites/default/files/Gazettee%20notification%20of%20bulk%20drug%20schemes_0_0.pdf
PROPOSED,Air conditioners,Production Linked Incentive Scheme (PLI) for White Goods (Air Conditioners and LED Lights) Manufacturers in India,DPIIT (Ministry of Commerce and Industry),07-04-2021,16-04-2021,"Gazette No. 129, CG-DL-E-16042021-226671, F.No. P-29014/101/2020-LEI","2021-06-04 (corrigenda 2021-08-16, 2022-02-24, 2023-10-09; consolidated 2023-10-23)",FY2019-20,FY2022-23 (first year of incremental sale per notification para 4.2),2022-04,2021-04-07 (Cabinet); 2021-04-16 (notification); FY2021-22 (first year of INVESTMENT); 2022-04 +/- 3 months,"Para 3.1 Air conditioners: (i) Air Conditioners (Components - High value Intermediates or Low Value Intermediates or sub-assemblies or a combination thereof); (ii) High Value Intermediates (Copper Tubes, Aluminium Foil and Compressors); (iii) Low Value Intermediates (PCB assembly for controllers, BLDC motors, Service Valves and Cross Flow fans for AC and other components). Para 8.1: 'Mere assembly of finished goods shall not be incentivized.'",HS-4 8415,Stable across HS2017/HS2022 at HS-4 - TO CONFIRM empirically in Phase 2 Step 2.,MEDIUM,"VULNERABILITY TO DECLARE UP FRONT: the scheme targets COMPONENTS and explicitly excludes mere assembly, while HS 8415 is dominated by FINISHED units. The mapping is therefore imperfect by construction. Base year is FY2019-20, NOT FY2020-21 - the 16.08.2021 corrigendum only permits pre-qualified applicants to use the HIGHER of FY2019-20/FY2020-21 as the sales comparator. Note para 4.2 verbatim: 'The first year of investment will be FY 2021-22 and the first year of incremental sale will be FY 2022-23.' ADVANTAGE: very strong seasonal signal - a good demonstration that the month-FE seasonality handling works. Balanced 48/48 split.",https://pliwhitegoods.ifciltd.com/docs/PLIWG%20Notification-16042021.pdf
TO BE PRE-COMMITTED,Non-PLI control basket,NOT APPLICABLE - control group,NOT APPLICABLE,,,,,,NOT APPLICABLE,NOT APPLICABLE,Placebo dates matched to each treated sector's Ds,NOT APPLICABLE,TO BE DECIDED IN PHASE 2 STEP 1,PENDING,NOT YET SELECTED,"MUST BE PRE-COMMITTED IN WRITING WITH JUSTIFICATION BEFORE ANY ESTIMATION. This is the most persuasive robustness check in the design (R3) and the primary answer to 'how do you know this isn't the post-COVID recovery?'. Selecting it after seeing results would invalidate it. SELECTION CRITERIA: comparable global-demand exposure AND a comparable secular growth regime (the real analogue of parallel trends). CANDIDATES: leather goods, ceramic products, marine products, gems & jewellery. CAVEATS ON CANDIDATES - gems & jewellery is dominated by re-export routing (India imports rough, exports polished), which is the same structural problem flagged as vulnerability V7 for the treated series, and it took an idiosyncratic hit from 2022 Russian rough-diamond sanctions; marine products carry US antidumping and shrimp-specific shocks. None of the candidates has a fast-scaling growth regime comparable to assembly electronics - this mismatch must be stated as a limitation whichever is chosen.",
EXCLUDED,Textiles (MMF apparel/fabrics/technical textiles),Production Linked Incentive (PLI) Scheme for Textiles,Ministry of Textiles,NOT VERIFIED - PIB announced approval on 2021-09-08 but neither the PIB release nor the notification states a calendar approval date,24-09-2021,F. No. 12015/03/2020-IT,28-12-2021,NO BASE YEAR - scheme uses absolute then YoY incremental turnover thresholds,FY2024-25 (performance year 1),NOT USED,NOT APPLICABLE,"Annexure-I: 40 rows of MMF apparel at 6-digit HS mapped to 8-digit (Ch. 61 and 62). Annexure-II: 14 rows of MMF fabrics (540752, 600632, 540761, 600192, 540754, 580632, 551511, 600537, 551614, 540742, 551219, 540710, 540720, 540769). Annexure-III: 10 technical-textile segments with INDICATIVE HSN only.",Would be Annexure-I/II 8-digit lines (the notification DOES contain HS annexures - unusual and useful),NOT APPLICABLE,NOT APPLICABLE,"EXCLUDED FROM THE STUDY: first performance year is FY2024-25, leaving only ~24 post-months to Mar-2026. Too early for a trajectory analysis. State this exclusion and its reason explicitly in the report rather than omitting the sector silently. NOTE: any claim that the Textiles PLI has a 'base year 2019-20' is NOT supported by the notification.",https://pli.texmin.gov.in/frontend/images/Documents/1.%20PLI%20Textiles%20Notification_24.09.2021.pdf
EXCLUDED,Automobiles and auto components,Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry,Ministry of Heavy Industries,15-09-2021,23-09-2021,"S.O. 3946(E), F.No. 12(11)/2020-AEI (21370), CG-DL-E-23092021-229899",2021-09-23 (S.O. 3947(E)),FY2019-20,FY2022-23,NOT USED,NOT APPLICABLE,Advanced Automotive Technology (AAT) vehicles and components. Champion OEM: 'Battery Electric Vehicles and Hydrogen Fuel Cell Vehicles of all segments'. Component Champion: 'pre-approved Advanced Automotive Technology components'.,NOT MAPPABLE,NOT APPLICABLE,NOT APPLICABLE,"EXCLUDED: the notification S.O. 3946(E) contains NO annexure of eligible AAT vehicles or components - it defers both lists to MHI 'from time to time'. AAT components therefore cannot be mapped to trade classifications with defensible confidence. This is a FLAG, not an inference - per the project rule, flag rather than invent.",https://heavyindustries.gov.in/sites/default/files/2023-09/PLI-Auto-Scheme.pdf
REJECTED,Plastic & Linoleum (currently in project),NONE - NOT A PLI SECTOR,NOT APPLICABLE,,,,,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MISCLASSIFICATION IN EXISTING PROJECT. There is no PLI scheme for plastics. The official 14 sectors (PIB Release ID 1945155) contain no plastics scheme. Must be removed and the removal documented.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1945155
REJECTED,Engineering Goods (currently in project),NONE - NOT A PLI SECTOR,NOT APPLICABLE,,,,,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"MISCLASSIFICATION IN EXISTING PROJECT. 'Engineering Goods' is a DGCI&S Quick Estimate residual aggregate of roughly Rs 9.9 lakh crore spanning most of HS Ch.72-90. PLI-covered items within it (AAT auto components, telecom hardware, AC/LED components, specialty steel) are a small minority. Signal-to-noise makes it indefensible as a treatment unit.",https://www.pib.gov.in/PressReleasePage.aspx?PRID=1945155
REJECTED,Organic & Inorganic Chemicals (currently in project),NONE AS A GROUP - partial overlap only,NOT APPLICABLE,,,,,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"MISCLASSIFICATION IN EXISTING PROJECT. There is no PLI for chemicals broadly. Partial overlap only: bulk-drug PLI APIs/KSMs sit inside HS Ch.29. The correct treatment is to extract the API/bulk-drug subset (see PROPOSED row above), not to treat the whole group as PLI-linked.",https://www.pib.gov.in/PressReleasePage.aspx?PRID=1945155
